String,Admin Roles,Content Roles,End User,From Mukurtu
Singapore,,,,
"Single column block with image on top, followed by title and text below",x,,,
Single export,,,,
Single filter,,,,
Single ID,,,,
Single import,,,,
Single item,,,,
Single name,,,,
Single on/off checkbox,,,,
Single on/off checkbox format settings,,,,
Single phrase,,,,
Single quotation marks (apostrophe),,,,
Single-Directory Components,,,,
Singular form,,,,
Singular/Plural string,,,,
Sint Maarten,,,,
Site,,,,
site,,,,
Site account,,,,
Site administration toolbar,x,,,
Site branding,x,,,
Site branding background color,x,,,
Site default language code,,,,
Site details,x,,,
Site email address,,,,
Site information,x,,,
Site information links,x,,,
Site language,x,x,x,
Site logo,x,,,
Site maintenance account,x,,,
Site name,x,,,
"Site performance, in this context, refers to speed factors such as the page load time and the response time after a user action on a page.",,,,
Site section links,x,,,
Site slogan,x,,,
Site under maintenance,,,,
Site Users,,,,
Site UUID,,,,
Site UUID in source storage does not match the target storage.,,,,
"Site visitors can email registered users on your site by using the personal contact form, without knowing or learning the email address of the recipient. When a site visitor is viewing a user profile, the viewer will see a <em>Contact</em> tab or link, which leads to the personal contact form. The personal contact link is not shown when you are viewing your own profile, and users must have both <em>View user information</em> (to see user profiles) and <em>Use users' personal contact forms</em> permission to see the link. The user whose profile is being viewed must also have their personal contact form enabled (this is a user account setting); viewers with <em>Administer users</em> permission can bypass this setting.",,,,
"Site visitors can email registered users on your site by using the personal contact form, without knowing or learning the email address of the recipient. When a user with the correct permissions is viewing another user's profile, the viewer will see a <em>Contact</em> tab or link, which leads to the personal contact form if the user whose profile is being viewed has their personal contact form enabled (this is a user account setting).",,,,
Site-configured languages (@count),,,,
Site's default language (@lang_name),,,,
Site's default language (@language),,,,
Size,x,,,
Size of email field,,,,
Size of textfield,,,,
Size of the processing batch,,,,
Size of URI field,,,,
Sizes,,,,
Sizes attribute,,,,
Sizes field,,,,
Skin,,,,
Skip comment approval,,,,
Skip on Empty,,,,
Skip Row process if not set,,,,
Skip to main content,,,,
Skipped,,,,
Skipped importing @entity_type @uuid because: %reason,,,,
Skipping @group because this type does not exist in current mode,,,,
Slash,,,,
Slate,,,,
Slider,,,,
Slogan,x,,,
Slovakia,,,,
Slovenia,,,,
Slow,,,,
Small,x,,,
Small (250px w),x,,,
Small (250px),x,,,
Small 21:9 (768x330),,,,
SMTP options,,,,
Social Bar,,,,
Soft limit,,,,
Solomon Islands,,,,
Somalia,,,,
"Some content entity types are further grouped into sub-types (for example, you could have article and page content types within the main site content entity type, and tag and category vocabularies within the taxonomy term entity type); other entity types, such as user accounts, do not have sub-types. Programmers use the term <em>bundle</em> for entity sub-types.",,,,
"Some modules have database schema updates to install. You should run the <a href="":update"">database update script</a> immediately.",,,,
"Some modules have database updates pending. You should run the <a href="":update"">database update script</a> immediately.",,,,
"Some multilingual features currently do not work well with JSON:API. See the <a href="":jsonapi-docs"">JSON:API multilingual support documentation</a> for more information on the current status of multilingual support.",,,,
"Some of the calculations that are done when your site loads a page take a long time to run. To save time when these calculations would need to be done again, their results can be <em>cached</em> in your site's database. There are internal mechanisms to <em>clear</em> cached data when the conditions or assumptions that went into the calculation have changed, but you can also clear cached data manually. When your site is misbehaving, a good first step is to clear the cache and see if the problem goes away.",,,,
Some of the more commonly used text filters are:,,,,
Some of the pending updates cannot be applied because their dependencies were not met.,,,,
Some required modules must be installed,,,,
"Some roles lack permission to access content, but display %display has no access control.",,,,
"Some search page plugins, such as the core Content search page, index searchable text using the Drupal core search index, and will not work unless content is indexed. Indexing is done during <em>cron</em> runs, so it requires a <a href="":cron"">cron maintenance task</a> to be set up. There are also several settings affecting indexing that can be configured on the <a href="":search-settings"">Search pages page</a>: the number of items to index per cron run, the minimum word length to index, and how to handle Chinese, Japanese, and Korean characters.",,,,
"Some user accounts have email addresses that differ only by case. For example, one account might have alice@example.com and another might have Alice@Example.com. See <a href="":url"">Conflicting User Emails</a> for more information.",,,,
"Sorry, the @name provider is not allowed.",,,,
Sort ascending,,,,
Sort by,x,x,,
Sort By,x,x,,
sort by @s,x,x,,
Sort by the threaded order. This will keep child comments together with their parents.,x,x,,
Sort criteria,,,,
sort criteria,,,,
Sort criterion,,,,
sort criterion,,,,
Sort descending,,,,
Sort direction,,,,
Sort field identifier,,,,
Sort order,,,,
Sort orderAlphabetical,,,,
Sort orderDate,,,,
Sort orderDefault sort,,,,
Sort orderNumerical,,,,
Sort orderOrder,,,,
Sort results by,,,,
Sort settings,,,,
Sortable,,,,
Sortable for @field,,,,
sorted by,,,,
Sorts,,,,
SoundCloud,x,x,,x
Source,x,x,x,
Source connection,,,,
Source database,,,,
Source database does not contain a recognizable Drupal version.,,,,
Source database is Drupal version @version but version @selected was selected.,,,,
Source Editing,,,,
Source field,,,,
Source files,,,,
Source IDs,,,,
Source image,,,,
Source image at %source_image_path not found while trying to generate derivative image at %derivative_path.,,,,
"Source image: @width pixels wide, @height pixels high",,,,
Source key,,,,
Source keys,,,,
Source language,,,,
Source language set to: %language,,,,
Source language: @language,,,,
Source link,,,,
Source module not found for @migration_id.,,,,
Source Options,,,,
"Source provides a reference to the organization or individual responsible for the holding, description, origination, or contribution of the collection. Examples include institutions (e.g.,: ""Library of Congress, American Folklife Center""), or donors (e.g.,: ""Donated by John Smith""). Maximum 255 characters.",x,x,,x
"Source provides a reference to the organization or individual responsible for the holding, description, origination, or contribution of the word list. Examples include institutions (e.g.,: ""Library of Congress, American Folklife Center""), or donors (e.g.,: ""Donated by John Smith""). Maximum 255 characters.",x,x,,x
"Source provides a reference to the resource, collection, or institution where the digital heritage item is held, described, originated, or contributed. Examples include collections (e.g., “McWhorter Collection”), institutions (e.g.,: “Library of Congress, American Folklife Center), or donors (e.g.,: “Donated by John Smith”). </br>Maximum 255 characters.",x,x,,x
Source string,x,,,
Source string (@language),,,,
Source string ID,,,,
"Source text only, no translations",x,,,
Source type,,,,
Source Type,,,,
source_module enforcement tags,,,,
Sources,,,,
South,,,,
South Africa,,,,
South Georgia & South Sandwich Islands,,,,
South Korea,,,,
South Sudan,,,,
Space,,,,
Spain,,,,
Spanish,,,,
Specify a custom entity ID. This will override the entity ID in the configuration above.,,,,
Specify a relative URL to display as the front page.,x,,,
Specify access control type for this display.,,,,
"Specify an alternative path by which this data can be accessed. For example, type ""/about"" when writing an about page.",x,,,
Specify caching type for this display.,,,,
Specify how many digits to print after the decimal point.,,,,
Specify pages by using their paths. Enter one path per line. The '*' character is a wildcard. An example path is %user-wildcard for every user page. %front is the front page.,,,,
"Specify the existing path you wish to alias. For example: /node/28, /media/1, /taxonomy/term/1.",,,,
Specify the format of the syslog entry. Available variables are: <dl><dt><code>!base_url</code></dt><dd>Base URL of the site.</dd><dt><code>!timestamp</code></dt><dd>Unix timestamp of the log entry.</dd><dt><code>!type</code></dt><dd>The category to which this message belongs.</dd><dt><code>!ip</code></dt><dd>IP address of the user triggering the message.</dd><dt><code>!request_uri</code></dt><dd>The requested URI.</dd><dt><code>!referer</code></dt><dd>HTTP Referer if available.</dd><dt><code>!severity</code></dt><dd>The severity level of the event; ranges from 0 (Emergency) to 7 (Debug).</dd><dt><code>!uid</code></dt><dd>User ID.</dd><dt><code>!link</code></dt><dd>A link to associate with the message.</dd><dt><code>!message</code></dt><dd>The message to store in the log.</dd></dl>,,,,
Specify the number of links to pages to display in the pager.,,,,
Specify the number the counter should start at.,,,,
Specify validation criteria,,,,
"Specify whether this display will provide a ""more"" link.",,,,
Specify which display or custom URL this display will link to.,,,,
Speed,,,,
speed of the effect,,,,
Speeding up your site,,,,
SQL pager,,,,
SQL Query,,,,
SQLite,,,,
Square,x,,,
Square Large,,,,
Square Medium,,,,
Square Small,,,,
Sri Lanka,,,,
SSH,,,,
St. Barthélemy,,,,
St. Helena,,,,
St. Kitts & Nevis,,,,
St. Lucia,,,,
St. Martin,,,,
St. Pierre & Miquelon,,,,
St. Vincent & Grenadines,,,,
Stable 9,,,,
Staged,,,,
Standalone media URL,x,,,
standard,,,,
Standard,,,,
Standard deviation,,,,
Standard PHP,,,,
Standard sort expose settings,,,,
Standard template for a single node being created.,x,,,
Standard template for a single node being updated.,x,,,
Stark,,,,
Stark settings,,,,
Start date,,,,
Start date value,,,,
Start indexing now,,,,
Start receiving notifications for changes to this content.,,,,
Start typing the title of a content item and select it when the full title comes up,,,,
Start typing the title of a piece of content to select it. You can also enter an internal path such as %add-node or an external URL such as %url. Enter %front to link to the front page. Enter %nolink to display link text only. Enter %button to display keyboard-accessible link text only.,,,,
Starterkit theme,,,,
Starting configuration import.,,,,
Starting configuration synchronization.,,,,
Starting configuration update,,,,
"Starting execution of @module_cron(), execution of @module_previous_cron() took @time.",,,,
Starting execution of @module_cron().,,,,
starting from @count,,,,
Starting level,,,,
Starting recipe installation.,,,,
Starting required module installation.,,,,
Starting updates,,,,
Starting upload...,,,,
Starting value,,,,
Starts with,,,,
State,,,,
State %label deleted.,,,,
State %state does not exist on %workflow workflow,,,,
State editor,,,,
State label,,,,
States,,,,
Static Map,,,,
Static menu link overrides,,,,
Statistics,,,,
Status,x,x,,
Status Code,x,,,
Status code,x,,,
Status Details,x,,,
Status listing and form for the entity's moderation state.,,,,
Status message,x,x,x,
Status messages,x,x,,
Status of widget,,,,
Status report,x,,,
StatusText: !statusText,x,,,
Stemmer,,,,
Step,,,,
Steps,,,,
Sticky at top of lists,,,,
Sticky header,,,,
Sticky status,,,,
Stop,,,,
Stop Following,,,,
Stop Following this Collection,,,,
Stop Following this Community,,,,
Stop receiving notifications for changes to this content.,,,,
Stopwords,,,,
Storage: @name,,,,
Store new items in,,,,
Stores a number in the database in a fixed decimal format,,,,
Stores a redirect source,,,,
"Stores a URL string, optional varchar link text, and optional blob of attributes to assemble a link.",,,,
Storing files,,,,
Strict type check,,,,
String,,,,
String (long) settings,,,,
String contains,,,,
String settings,,,,
Strings to Remove,,,,
Strip HTML tags,,,,
Strong,,,,
Structure,x,,,
Stub ID,,,,
Style,,,,
Style %name was created.,,,,
Style @style requires a row style but the row plugin is invalid.,,,,
Style label,,,,
Style name,,,,
Style options,,,,
Style settings,,,,
Style tag + classes,,,,
Styles,x,,,
Sub path,,,,
Subject,x,x,x,
Submission form settings,,,,
Submit,,,,
Submit button text,,,,
Submitted by @author_name on @date,,,,
Submitted by @username on @datetime,,,,
Subquery namespace,,,,
Subscribe,,,,
Subscribe node,x,,,
Subscribe node email,x,,,
Subscribe taxonomy term,x,,,
Subscribe taxonomy term email,x,,,
Subscribe to @title,,,,
Subscripted,,,,
Subscriptions,,,,
Subtitle,,,,
Subtitle five,,,,
Subtitle four,,,,
Subtitle six,,,,
Subtitle three,,,,
Success (@status_code),,,,
Successful,,,,
Successful Migrations,,,,
Successful publication.,,,,
Successfully saved @language translation.,,,,
Successfully updated @language translation.,,,,
Sudan,,,,
Suffix,,,,
Suffix text,,,,
Suggest additional words,,,,
Suggest additional words the user might want to search for.,,,,
Suggest suffix,,,,
Suggest word endings,,,,
Suggest words,,,,
Suggested cache lifetime,,,,
Sum,,,,
Summary,x,x,x,
Summary field will always be visible,,,,
Summary input,,,,
Summary options,,,,
Summary or trimmed,,,,
Summary or trimmed formatted text display format settings,,,,
Summary rows,,,,
Summary title,,,,
Sun,,,,
Sunday,,,,
Superscripted,,,,
Supported,,,,
Supported authentication,,,,
Supported authentication providers,,,,
Supported format,,,,
Supported formats,,,,
Supported methods,,,,
Supports long text without specifying a maximum length,,,,
Suppress 'page not found' log messages,,,,
Suppress the itok query string for image derivatives,,,,
Suriname,,,,
Svalbard & Jan Mayen,,,,
SVG,,,,
SVG Sprite,,,,
Sweden,,,,
Switch,,,,
Switch the color palette of your Mukurtu installation.,,,,
Switch to @workspace,,,,
Switch to Live,,,,
Switch to the live version of the site.,,,,
Switch to this workspace,,,,
Switch user,,,,
Switch users,,,,
Switch workspace,,,,
Switzerland,,,,
Symfony mailer (Experimental),,,,
Symfony mailer transport DSN,,,,
Synchronize,,,,
Synchronize configuration,,,,
Synchronizing configuration,,,,
Synchronizing configuration: @op @name in @collection.,,,,
Synchronizing configuration: @op @name.,,,,
Synchronizing extensions: installed @name.,,,,
Synchronizing extensions: uninstalled @name.,,,,
Syndicate,,,,
Syndicate block,,,,
Syria,,,,
Syslog,,,,
Syslog facility,,,,
Syslog format,,,,
Syslog identity,,,,
Syslog settings,,,,
System,x,,,
System action,,,,
System Feature Flags,,,,
System module form element.,,,,
System path,x,,,
Tab,,,,
Tab options,,,,
Tab order,,,,
Tab order: @order,,,,
Tab weight,,,,
Tab: @title,,,,
Tabbing is constrained to a set of @contextualsCount and the edit mode toggle.,,,,
Tabbing is no longer constrained by the Contextual module.,,,,
Table,x,x,,
Table cell,,,,
Table description,,,,
Table details,,,,
Table header,,,,
Table name prefix,,,,
Table of files,,,,
Table of files format settings,,,,
Tabs,x,,,
"Tabs are buttons, displayed in a bar across the top of the screen. Some tabs execute an action (such as starting Edit mode), while other tabs toggle which tray is open.",x,x,,
Tabs block,x,,,
Tabs display toggle,x,,,
Tag,x,,,
tag,x,,,
Tag a weight,,,,
Tag b weight,,,,
Tag based,,,,
Tag based caching,,,,
Tag based caching of data. Caches will persist until any related cache tags are invalidated.,,,,
Tag boosts,,,,
Tag Description,,,,
Tag em weight,,,,
Tag h1 weight,,,,
Tag h2 weight,,,,
Tag h3 weight,,,,
Tag h4 weight,,,,
Tag h5 weight,,,,
Tag h6 weight,,,,
Tag i weight,,,,
Tag ID,,,,
Tag strong weight,,,,
Tag u weight,,,,
Tag-based caching (Search API),,,,
tagged with,,,,
Tags,,,,
Tags/attributes that are not explicitly supported by any plugin are supported by Source Editing,,,,
Taiwan,,,,
Tajikistan,,,,
Take the site offline for updates and other maintenance tasks.,,,,
Takes plain URLs in text and turns them into HTML links.,,,,
Tanzania,,,,
Tar,,,,
Target,,,,
Target entity type,x,,,
Target Entity Type ID,x,,,
Target entity type ID,x,,,
"Target of the link, such as _blank, _parent or an iframe's name. This field is rarely used.",,,,
Target UUID,,,,
Task data,,,,
Task type,,,,
Tasks,,,,
Taxonomy,x,x,,
Taxonomy depth modifier,x,,,
Taxonomy format settings,x,,,
"Taxonomy is for categorizing content. Terms are grouped into vocabularies. For example, a vocabulary called ""Fruit"" would contain the terms ""Apple"" and ""Banana"".",x,x,,x
Taxonomy language,x,,,
Taxonomy Record,x,,,
"Taxonomy reference fields can be added to any entity, such as user accounts, content blocks, or regular content items. If you use them to classify regular content items, your site will automatically be set up with taxonomy listing pages for each term; each of these pages lists all of the content items that are classified with that term.",x,x,,x
Taxonomy settings,,,,
Taxonomy term,x,x,,
taxonomy term,x,x,,
Taxonomy Term,x,x,,
Taxonomy term chosen from autocomplete or select widget.,x,x,,
Taxonomy term ID,x,x,,
Taxonomy term ID from URL,x,x,,
Taxonomy term ID with depth,x,x,,
Taxonomy term name,x,x,,
Taxonomy term page,x,x,,
Taxonomy Term selection,x,x,,
taxonomy terms,x,x,,
Taxonomy terms,x,x,,
Taxonomy Terms - Category,x,x,,x
Taxonomy Terms - Contributor,x,x,,x
Taxonomy Terms - Creator,x,x,,x
Taxonomy Terms - Format,x,x,,x
Taxonomy Terms - Interpersonal Relationship,x,x,,x
Taxonomy Terms - Keywords,x,x,,x
Taxonomy Terms - Language,x,x,,x
Taxonomy Terms - Media Tags,x,x,,x
Taxonomy Terms - Part of Speech,x,x,,x
Taxonomy Terms - People,x,x,,x
Taxonomy Terms - Publisher,x,x,,x
Taxonomy Terms - Subject,x,x,,x
Taxonomy Terms - Type,x,x,,x
Taxonomy terms are attached to nodes.,x,x,,x
"Taxonomy terms are normally attached as reference fields to other content entities, which is how you can use them to classify content. When you set up a taxonomy reference field, you can let users enter terms in two ways:",x,x,,x
Taxonomy terms on node,x,x,,x
Taxonomy UUID,x,x,,
Taxonomy vocabulary,x,x,,
taxonomy/term/6: Path to a taxonomy term page.,,,,
taxonomy_reference_category,,,,
taxonomy_reference_community,,,,
taxonomy_reference_keywords,,,,
Teal,,,,
Teaser,x,,,
Teaser - Recording,x,,,
Teaser - Translation,x,,,
Teaser Block,,,,
Teaser length,,,,
teasers,,,,
Telephone,,,,
Telephone (Telephone module): Stores telephone numbers,,,,
Telephone default format settings,,,,
Telephone link,,,,
Telephone link format settings,,,,
Telephone number,,,,
Telephone numbers can be displayed as links with the scheme name <em>tel:</em> by choosing the <em>Telephone</em> display format on the <em>Manage display</em> page. Any spaces will be stripped out of the link text. This semantic markup improves the user experience on mobile and assistive technology devices.,,,,
Tell us what you think,,,,
Template,x,x,,
Temporary,,,,
Temporary directory,x,,,
"Temporary file ""%path"" that was deleted during garbage collection did not exist on the filesystem.",,,,
"Temporary file ""%path"" that was deleted during garbage collection did not exist on the filesystem. This could be caused by a missing stream wrapper.",,,,
Temporary file could not be opened for file upload,,,,
Temporary file data for could not be written,,,,
Temporary files,,,,
"Temporary files are not referenced, but are in the file system and therefore may show up in administrative lists. <strong>Warning:</strong> If enabled, temporary files will be permanently deleted and may not be recoverable.",x,,,
Temporary local files for upload and previews.,,,,
term,x,x,x,
Term,x,x,x,x
Term count,,,,
Term description translation.,x,x,,x
Term from URL,,,,
Term ID,,,,
Term language,x,x,,x
Term name translation.,x,x,,x
Term Parents,,,,
Terminology,,,,
terms,x,x,x,
Terms,x,x,x,x
Terms are displayed in ascending order by weight.,,,,
"Test the display for your entity sub-type by viewing an entity. If needed, return to these steps to further refine the display.",,,,
"Test the editing form for your entity sub-type by editing or creating an entity. If needed, return to these steps to further refine the form.",,,,
Text,,,,
Text (formatted),,,,
Text (formatted) settings,,,,
"Text (formatted, long)",,,,
"Text (formatted, long) settings",,,,
"Text (formatted, long, with summary)",,,,
"Text (formatted, long, with summary) settings",,,,
Text (plain),,,,
"Text (plain, long)",,,,
Text (Text module): Stores formatted and unformatted text; see section below for more on text fields.,,,,
Text + Image,,,,
Text alignmentCenter,,,,
Text alignmentLeft,,,,
Text alignmentRight,,,,
Text area,,,,
Text area (multiple rows),,,,
Text area (multiple rows) display format settings,,,,
Text area with a summary,,,,
Text area with a summary display format settings,,,,
Text attribute,,,,
Text color,x,,,
Text Color,,,,
Text custom,,,,
Text Editor,,,,
Text editor,,,,
text editor,,,,
text editors,,,,
Text editors,,,,
Text editors may override this setting.,,,,
Text entry of the sample sentence. </br>Maximum 255 characters.,x,x,,x
Text field,,,,
Text field display format settings,,,,
Text field that does not support markup.,,,,
Text field with markup support and optional editor.,,,,
"Text fields that allow text formats are those with ""formatted"" in the description. These are <em>Text (formatted, long, with summary)</em>, <em>Text (formatted)</em>, and <em>Text (formatted, long)</em>. You cannot change the type of field once a field has been created.",,,,
"Text fields that have ""formatted"" in the field type name, such as <em>Text (formatted)</em>, use text formats. Users choose the text format when editing the field text; when the field text is shown on the site, it is processed by the chosen text format. Administrators can configure text formats and assign permissions for who can use each format. If the core Text Editor module is enabled, administrators can also associate visual editors with text formats.",,,,
Text format,x,x,,
text format,x,x,,
Text format names must be unique. A format named %name already exists.,,,,
Text Format plus Text Editor pair using CKEditor 5,,,,
Text formats,x,,,
Text Formats,x,,,
text formats,x,,,
Text formats and editors,x,,,
Text formats are presented on content editing pages in the order defined on this page. The first format available to a user will be selected by default.,,,,
"Text formats define how text is filtered for output and how HTML tags and other text is displayed, replaced, or removed. <strong>Improper text format configuration is a security risk.</strong> Learn more on the <a href="":filter_help"">Filter module help page</a>.",,,,
Text of the auto-reply message.,,,,
Text on demand,,,,
Text on demand format,,,,
Text settings,,,,
Text that will be shown inside the field until a value is entered. This hint is usually a sample value or a brief description of the expected format.,x,x,,
Text to display,,,,
Text to display in the pop-up external link warning box.,,,,
Text to display in the reset button of the exposed form.,,,,
Text to display instead of results until the user selects and applies an exposed filter.,,,,
"Text to place as ""title"" text which most browsers display as a tooltip when hovering over the link.",,,,
"Text to put after the number, such as currency symbol.",,,,
"Text to put before the number, such as currency symbol.",,,,
"Text to use for the plural form, @count will be replaced with the value.",,,,
"Text to use for the singular form, @count will be replaced with the value.",,,,
"Text to use for this variant, @count will be replaced with the value.",,,,
Text value,,,,
Text with <br />line break,,,,
Text with text format,,,,
Textarea display format settings,,,,
Textfield,,,,
Textfield size,,,,
Textfield size: @size,,,,
Thailand,,,,
"Thank you for applying for an account. Your account is currently pending approval by the site administrator.<br />In the meantime, a welcome message with further instructions has been sent to your email address.",,,,
Thank you for registering at [site:name]. You may now log in by clicking this link or copying and pasting it into your browser:,,,,
"Thank you for registering at [site:name]. Your application for an account is currently pending approval. Once it has been approved, you will receive another email containing information about how to log in, set your password, and other details.",,,,
That machine name is in use by another context definition.,,,,
"The ""%plugin_id"" block plugin was not found",,,,
"The ""@name"" at ""@target_entity_type_id:@target_bundle"" references the ""@entity_type_id:@bundle"" entity type that does not exist.",,,,
"The ""@name"" option must contain a valid value. You may either leave the text field empty or enter a string like ""512"" (bytes), ""80 KB"" (kilobytes) or ""50 MB"" (megabytes).",,,,
"The ""Delete translation"" action is only available for published translations.",,,,
"The ""jquery_ui_accordion"" module has been installed.",,,,
"The %display_mode mode now uses custom display settings. You might want to <a href="":url"">configure them</a>.",,,,
"The %driver database must use %encoding encoding to work with Drupal. Recreate the database with %encoding encoding. See <a href=""INSTALL.pgsql.txt"">INSTALL.pgsql.txt</a> for more details.",,,,
The %element-title doesn't allow the patterns ending with whitespace.,,,,
The %element-title is using the following invalid characters: @invalid-characters.,,,,
The %entity_type entity type needs to be installed.,,,,
The %entity_type entity type needs to be updated.,,,,
The %field date is incomplete.,,,,
The %field date is invalid.,,,,
The %field date is invalid. Enter a date in the correct format.,,,,
The %field date is required.,,,,
"The %field_name entity reference field (entity_type: %entity_type, bundle: %bundle) no longer has any valid bundle it can reference. The field is not working correctly anymore and has to be adjusted.",,,,
The %field_name field needs to be installed.,,,,
The %field_name field needs to be uninstalled.,,,,
The %field_name field needs to be updated.,,,,
The %file does not exist.,,,,
The %file exists.,,,,
The %file is not readable.,,,,
The %file is not writable.,,,,
"The %filter filter is missing, and will be removed once this format is saved.",,,,
The %label search page has been added.,,,,
The %label search page has been disabled.,,,,
The %label search page has been enabled.,,,,
The %label search page has been updated.,,,,
The %label workspace can not be deleted because it has child workspaces.,,,,
The %language (%langcode) language has been created.,,,,
The %language (%langcode) language has been removed.,,,,
The %language (%langcode) language has been updated.,,,,
The %language translation could not be downloaded.,,,,
"The %language translation file could not be downloaded. <a href="":url"">Choose a different language</a> or select English and translate your website later.",,,,
"The %language translation file is not available at the translation server. <a href="":url"">Choose a different language</a> or select English and translate your website later.",,,,
The %language translation is available.,,,,
The %language translation is not available.,,,,
The %media-embed-filter-label filter requires <code>&lt;drupal-media&gt;</code> among the allowed HTML tags.,,,,
The %name optionset %label has been deleted.,x,,,
"The %plugin plugin needs another plugin to create <code>@non_creatable_tag</code>, for it to be able to create the following attributes: <code>@attributes_on_tag</code>. Enable a plugin that supports creating this tag. If none exists, you can configure the Source Editing plugin to support it.",,,,
The %relationship_name relationship used in %handler_type %handler is not present in the %display_name display.,,,,
The %set_name shortcut set has been created. You can edit it from this page.,,,,
"The %setting setting is currently set to '%current_value', but needs to be '%needed_value'. Change this by running the following query: <code>@query</code>",,,,
The %theme theme has been installed.,,,,
The %theme theme has been uninstalled.,,,,
The %theme theme was not found.,,,,
The %toolbar_item toolbar item requires image uploads to be enabled.,,,,
The %toolbar_item toolbar item requires the %filter filter to be enabled.,,,,
The %toolbar_item toolbar item requires the %plugin plugin to be enabled.,,,,
The %toolbar_item toolbar item requires the %plugins plugins to be enabled.,,,,
The %view_id view could not be updated automatically while processing an entity schema update for the %entity_type_id entity type.,,,,
The &lt;p&gt; and &lt;br &gt; tags will be automatically added to your text format.,,,,
The '@bundle' bundle does not exist on the '@entity_type_id' entity type.,,,,
"The @drupal installer failed to create a %file file with proper file ownership. Log on to your web server, remove the existing %file file, and create a new one by copying the %default_file file to %file. More details about installing Drupal are available in <a href="":install_txt"">INSTALL.txt</a>. The <a href="":handbook_url"">webhosting issues</a> documentation section offers help on this and other topics.",,,,
The @drupal installer requires that the %default-file file must not be deleted or modified from the original download.,,,,
"The @drupal installer requires that you create a %file as part of the installation process. Copy the %default_file file to %file. More details about installing Drupal are available in <a href="":install_txt"">INSTALL.txt</a>.",,,,
"The @drupal installer requires write permissions to %file during the installation process. The <a href="":handbook_url"">webhosting issues</a> documentation section offers help on this and other topics.",,,,
The @entity_type to which the comment is a reply to.,,,,
The @entity-type %label @language translation has been deleted.,,,,
The @entity-type %label has been added.,,,,
The @entity-type %label has been deleted.,,,,
The @entity-type %label has been removed from the %region region.,,,,
The @entity-type %label has been updated.,,,,
The @file is owned by the web server.,,,,
The @file is writable.,,,,
"The @library_item_field_label field cannot contain a @paragraphs_type_label paragraph, because the parent @paragraph_field_label field disallows it.",,,,
The @module module is required,,,,
The '@name' config does not exist.,,,,
"The @name config object does not contain any translatable values, so it should not specify a language code.",,,,
"The @name config object must specify a language code, because it contains translatable values.",,,,
The @name module is deprecated. (more information),,,,
The '@name' property cannot be changed.,,,,
The '@plugin_id' plugin does not exist.,,,,
The '@plugin_id' plugin must implement or extend @interface.,,,,
The '@profile_name' install profile requires '@module_name',,,,
The @title end date cannot be before the start date,,,,
The @type %title has been deleted.,,,,
The @uri field is required when the @title field is specified.,,,,
The {filter_format}.format of the string,,,,
The {filter_formats}.format of the comment body.,,,,
The {node}.language to which this comment is a reply. Site default language is used as a fallback if node does not have a language.,,,,
The {node}.nid to which this comment is a reply.,,,,
The {node}.type to which this comment is a reply.,,,,
"The {users}.uid who added the file. If set to 0, this file was added by an anonymous user.",,,,
"The {users}.uid who authored the comment. If set to 0, this comment was created by an anonymous user.",,,,
"The “Allowed HTML tags"" field in the “Limit allowed HTML tags and correct Faulty HTML"" filter is now read-only",,,,
"The <a href="":accounts"">Account settings page</a> allows you to manage settings for the displayed name of the Anonymous user role, personal contact forms, user registration settings, and account cancellation settings. On this page you can also manage settings for account personalization, and adapt the text for the email messages that users receive when they register or request a password recovery. You may also set which role is automatically assigned new permissions whenever a module is installed (the Administrator role).",,,,
"The <a href="":content"">Content</a> page lists your content, allowing you add new content, filter, edit or delete existing content, or perform bulk operations on existing content.",,,,
"The <a href="":detection"">Detection and selection</a> page provides several methods for deciding which language is used for displaying interface text. When a method detects and selects an interface language, then the following methods in the list are not applied. You can order them by importance, with your preferred method at the top of the list, followed by one or several fall-back methods.",,,,
"The <a href="":jsonapi-docs"">JSON:API</a> and <a href="":rest-docs"">RESTful Web Services</a> modules serve similar purposes. <a href="":comparison"">Read the comparison of the RESTFul Web Services and JSON:API modules</a> to determine the best choice for your site.",,,,
"The <a href="":pathauto_bulk"">""Bulk Generate""</a> page allows you to create URL aliases for items that currently have no aliases. This is typically used when installing Pathauto on a site that has existing un-aliased content that needs to be aliased in bulk.",,,,
"The <a href="":pathauto_delete"">""Delete Aliases""</a> page allows you to remove URL aliases from items that have previously been assigned aliases using pathauto.",,,,
"The <a href="":pathauto_pattern"">""Patterns""</a> page is used to configure automatic path aliasing. New patterns are created here using the <a href="":add_form"">Add Pathauto pattern</a> button which presents a form to simplify pattern creation thru the use of <a href=""token"">available tokens</a>. The patterns page provides a list of all patterns on the site and allows you to edit and reorder them. An alias is generated for the first pattern that applies.",,,,
"The <a href="":pg_trgm"">pg_trgm</a> PostgreSQL extension is not present. The extension is required by Drupal 10 to improve performance when using PostgreSQL. See <a href="":requirements"">Drupal database server requirements</a> for more information.",,,,
"The <a href="":pg_trgm"">pg_trgm</a> PostgreSQL extension is not present. The extension is required by Drupal to improve performance when using PostgreSQL. See <a href="":requirements"">Drupal database server requirements</a> for more information.",,,,
